EuroPheno.stock_id,pseudo_rep_no,pheno_date,time_taken,who,fresh_weight_plant,fresh_weight_sub_sample,dry_weight_sub_sample,stem_count
42,6,16/09/2015,14:35,eey9,4.58,467.2,109.4,3
51,6,16/09/2015,14:42,eey9,4.14,512.6,126.3,3
46,6,16/09/2015,14:44,eey9,3.7,455.6,129.7,8
50,6,16/09/2015,14:49,eey9,4.06,372.2,137.5,14
35,7,14/10/2015,09:56,eey9,2.86,171.4,64.8,10
39,7,14/10/2015,10:05,eey9,3.44,571,182.2,10
40,7,14/10/2015,10:05,eey9,4.44,678.2,231.1,4
42,7,14/10/2015,10:05,eey9,8.58,854.8,286.9,4
44,7,14/10/2015,10:05,eey9,7,745.3,241,4
53,7,14/10/2015,11:04,eey9,3.38,697,237.5,10
61,7,14/10/2015,11:09,eey9,2.78,235.8,101.1,10
57,7,14/10/2015,11:15,eey9,2.52,468.1,157.6,7
58,7,14/10/2015,11:22,eey9,2.94,677.8,261.8,4
56,7,14/10/2015,11:27,eey9,2.8,662.9,225.8,5
48,7,14/10/2015,11:33,eey9,3.84,176.6,69.5,10
51,7,14/10/2015,11:55,eey9,4.72,969.7,341.4,5
46,7,14/10/2015,12:07,eey9,5.42,511.5,162.2,10
50,7,14/10/2015,12:11,eey9,2.68,256.9,107.1,12
35,0,11/02/2016,09:10,eey9,7.76,232.75,134.25,
35,1,11/02/2016,09:05,eey9,0.54,,,
35,2,11/02/2016,09:05,eey9,0.82,,,
35,3,11/02/2016,09:07,eey9,1.12,,,
39,0,11/02/2016,13:51,eey9,10.54,331.1,195.95,
39,1,11/02/2016,11:45,eey9,1.28,,,
39,2,11/02/2016,11:50,eey9,1.62,,,
39,3,11/02/2016,11:50,eey9,1.06,,,
40,0,11/02/2016,13:44,eey9,10.72,341.45,175.3,
40,1,11/02/2016,11:43,eey9,0.82,,,
40,2,11/02/2016,11:43,eey9,1.24,,,
40,3,11/02/2016,11:44,eey9,1.14,,,
42,0,11/02/2016,13:37,eey9,16.6,346.15,166.05,
42,1,11/02/2016,11:33,eey9,2.56,,,
42,2,11/02/2016,11:33,eey9,2.88,,,
42,3,11/02/2016,11:34,eey9,2.3,,,
44,0,11/02/2016,10:18,eey9,13.46,359.3,175,
44,1,11/02/2016,09:28,eey9,1.42,,,
44,2,11/02/2016,09:28,eey9,1.68,,,
44,3,11/02/2016,09:30,eey9,1.94,,,
46,0,11/02/2016,13:24,eey9,8.54,311.65,160.75,
46,1,11/02/2016,11:23,eey9,2.36,,,
46,2,11/02/2016,11:23,eey9,0.1,,,
46,3,11/02/2016,11:23,eey9,1.02,,,
48,0,11/02/2016,13:57,eey9,7.66,268.05,168.1,
48,1,11/02/2016,10:59,eey9,1.24,,,
48,2,11/02/2016,10:59,eey9,0.8,,,
48,3,11/02/2016,11:00,eey9,0.48,,,
50,0,11/02/2016,13:22,eey9,7.26,274.5,167.3,
50,1,11/02/2016,11:05,eey9,1.02,,,
50,2,11/02/2016,11:05,eey9,1.24,,,
50,3,11/02/2016,11:06,eey9,1.36,,,
51,0,11/02/2016,13:15,eey9,9.26,361.7,193.25,
51,1,11/02/2016,11:07,eey9,1.02,,,
51,2,11/02/2016,11:16,eey9,2.44,,,
51,3,11/02/2016,11:17,eey9,1.52,,,
53,0,11/02/2016,10:29,eey9,10.78,353.5,171.35,
53,1,11/02/2016,09:46,eey9,0.8,,,
53,2,11/02/2016,09:46,eey9,1.26,,,
53,3,11/02/2016,09:47,eey9,1.7,,,
56,0,11/02/2016,14:02,eey9,20.26,422.05,178.3,
56,1,11/02/2016,10:46,eey9,1.52,,,
56,2,11/02/2016,10:53,eey9,2.42,,,
56,3,11/02/2016,10:53,eey9,2.26,,,
57,0,11/02/2016,14:22,eey9,9.8,348.05,178.6,
57,1,11/02/2016,10:44,eey9,0.82,,,
57,2,11/02/2016,10:45,eey9,0.82,,,
57,3,11/02/2016,10:46,eey9,0.62,,,
58,0,11/02/2016,14:36,eey9,6.18,508.9,277.1,
58,1,11/02/2016,10:09,eey9,2.2,,,
58,2,11/02/2016,10:09,eey9,0.76,,,
58,3,11/02/2016,10:10,eey9,0.56,,,
61,0,11/02/2016,13:03,eey9,7.28,224.7,127.45,
61,1,11/02/2016,09:48,eey9,0.72,,,
61,2,11/02/2016,09:54,eey9,0.76,,,
61,3,11/02/2016,09:55,eey9,0.6,,,
