EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,measurement_no,leaf_length_cm,leaf_width_cm,leaf_ligule,stem_count,canopy_height,stem_id,field_flowering_score
50,08/05/2012,,,3,5,0.5,0.1,0,,,,
51,08/05/2012,,,0,0,,,,8.0,,,
51,08/05/2012,,,1,0,,,,,,1,0
51,08/05/2012,,,1,1,5.0,1.5,1,,,,
51,08/05/2012,,,1,2,12.0,0.7,0,,,,
51,08/05/2012,,,1,3,3.0,0.2,0,,,,
51,08/05/2012,,,2,0,,,,,,1,0
51,08/05/2012,,,2,1,2.2,1.4,1,,,,
51,08/05/2012,,,2,2,10.0,2.3,1,,,,
51,08/05/2012,,,2,3,13.0,1.1,0,,,,
51,08/05/2012,,,3,0,,,,,,1,0
51,08/05/2012,,,3,2,8.0,2.0,0,,,,
51,08/05/2012,,,3,3,8.5,1.5,0,,,,
51,08/05/2012,,,3,4,4.0,0.5,0,,,,
53,08/05/2012,,,0,0,,,,15.33333333333335,,,
53,08/05/2012,,,1,0,,,,,,1,0
53,08/05/2012,,,1,1,4.5,0.9,1,,,,
53,08/05/2012,,,1,2,13.0,1.2,1,,,,
53,08/05/2012,,,1,3,17.2,1.6,0,,,,
53,08/05/2012,,,1,4,13.2,0.7,0,,,,
53,08/05/2012,,,1,5,1.5,0.1,0,,,,
53,08/05/2012,,,2,0,,,,,,1,0
53,08/05/2012,,,2,1,4.0,0.8,1,,,,
53,08/05/2012,,,2,2,7.5,1.2,0,,,,
53,08/05/2012,,,2,3,7.0,1.1,0,,,,
53,08/05/2012,,,2,4,3.0,0.1,0,,,,
53,08/05/2012,,,3,0,,,,,,1,0
53,08/05/2012,,,3,1,1.6,0.6,1,,,,
53,08/05/2012,,,3,2,11.0,1.2,0,,,,
53,08/05/2012,,,3,3,12.0,1.2,0,,,,
53,08/05/2012,,,3,4,5.0,0.3,0,,,,
56,08/05/2012,,,0,0,,,,21.0,,,
56,08/05/2012,,,1,0,,,,,,1,0
56,08/05/2012,,,1,1,5.5,1.0,1,,,,
56,08/05/2012,,,1,2,13.0,1.4,0,,,,
56,08/05/2012,,,1,3,11.5,1.2,0,,,,
56,08/05/2012,,,1,4,6.0,0.3,0,,,,
56,08/05/2012,,,2,0,,,,,,1,0
56,08/05/2012,,,2,1,3.1,1.0,1,,,,
56,08/05/2012,,,2,2,10.6,1.7,1,,,,
56,08/05/2012,,,2,3,15.0,1.6,0,,,,
56,08/05/2012,,,2,4,9.5,1.0,0,,,,
56,08/05/2012,,,3,0,,,,,,1,0
56,08/05/2012,,,3,1,6.6,1.7,1,,,,
56,08/05/2012,,,3,2,17.0,2.5,0,,,,
56,08/05/2012,,,3,3,19.0,2.4,0,,,,
56,08/05/2012,,,3,4,13.5,0.6,0,,,,
57,08/05/2012,,,0,0,,,,25.33333333333335,,,
57,08/05/2012,,,1,0,,,,,,1,0
57,08/05/2012,,,1,1,7.0,1.4,1,,,,
57,08/05/2012,,,1,2,22.5,1.7,1,,,,
57,08/05/2012,,,1,3,31.2,2.0,0,,,,
57,08/05/2012,,,1,4,25.5,1.2,0,,,,
57,08/05/2012,,,1,5,8.0,0.1,0,,,,
57,08/05/2012,,,2,0,,,,,,1,0
57,08/05/2012,,,2,2,20.0,1.6,1,,,,
57,08/05/2012,,,2,3,27.0,1.8,0,,,,
57,08/05/2012,,,2,4,20.0,1.2,0,,,,
57,08/05/2012,,,2,5,4.0,0.1,0,,,,
57,08/05/2012,,,3,0,,,,,,1,0
57,08/05/2012,,,3,1,2.5,0.7,1,,,,
57,08/05/2012,,,3,2,14.0,1.2,1,,,,
57,08/05/2012,,,3,3,16.0,1.4,0,,,,
57,08/05/2012,,,3,4,8.5,0.5,0,,,,
58,08/05/2012,,,0,0,,,,5.33333333333335,,,
58,08/05/2012,,,1,0,,,,,,2,0
58,08/05/2012,,,1,1,13.0,1.7,1,,,,
58,08/05/2012,,,1,2,17.5,2.1,0,,,,
58,08/05/2012,,,1,3,12.0,1.4,0,,,,
58,08/05/2012,,,3,0,,,,,,1,0
58,08/05/2012,,,3,1,0.0,0.0,0,,,,
58,08/05/2012,,,3,2,11.0,2.0,0,,,,
58,08/05/2012,,,3,3,12.5,1.0,0,,,,
58,08/05/2012,,,3,4,3.5,0.2,0,,,,
61,08/05/2012,,,0,0,,,,39.33333333333335,,,
61,08/05/2012,,,1,0,,,,,,1,0
61,08/05/2012,,,1,1,3.5,1.0,1,,,,
61,08/05/2012,,,1,2,14.0,1.7,1,,,,
61,08/05/2012,,,1,3,19.0,1.9,0,,,,
61,08/05/2012,,,1,4,14.5,1.0,0,,,,
61,08/05/2012,,,2,0,,,,,,1,0
61,08/05/2012,,,2,2,6.5,1.4,1,,,,
61,08/05/2012,,,2,3,15.5,1.7,1,,,,
