EuroPheno.stock_id,pheno_date,time_taken,who,pseudo_rep_no,canopy_height,leaf_ligule,stem_count,leaf_length_cm,leaf_width_cm,stem_id
21,19/06/2015,13:46,eey9,5,,0,,53.8,2.7,
21,19/06/2015,13:46,eey9,6,,0,,35.0,1.5,
22,19/06/2015,13:47,eey9,,84.0,0,20,,,
22,19/06/2015,13:48,eey9,1,,0,,,,
22,19/06/2015,13:48,eey9,2,,0,,,,
22,19/06/2015,13:48,eey9,3,,1,,51.0,2.6,
22,19/06/2015,13:48,eey9,4,,1,,57.5,2.7,
22,19/06/2015,13:49,eey9,5,,1,,63.2,3.0,
22,19/06/2015,13:49,eey9,6,,0,,52.5,3.0,
22,19/06/2015,13:49,eey9,7,,0,,36.6,1.1,
23,19/06/2015,13:51,eey9,,91.0,0,27,,,
23,19/06/2015,13:51,eey9,1,,0,,,,
23,19/06/2015,13:52,eey9,2,,0,,,,
23,19/06/2015,13:52,eey9,3,,1,,59.8,2.5,
23,19/06/2015,13:52,eey9,4,,1,,68.1,2.8,
23,19/06/2015,13:53,eey9,5,,0,,56.6,2.7,
23,19/06/2015,13:53,eey9,6,,0,,41.0,2.2,
31,19/06/2015,13:53,eey9,,84.0,0,22,,,
31,19/06/2015,13:54,eey9,1,,0,,,,
31,19/06/2015,13:54,eey9,2,,0,,,,
31,19/06/2015,13:54,eey9,3,,1,,32.2,2.6,
31,19/06/2015,13:55,eey9,4,,1,,59.1,2.4,
31,19/06/2015,13:56,eey9,5,,0,,60.0,1.8,
31,19/06/2015,13:56,eey9,6,,0,,34.3,1.2,
